filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
lemonyuv.ppm_10.h265,234.890625,25.8631011774097,34.5411587802568,42.5858785139724,0.988276073917069,93.5521881496418,86.493698449143
lemonyuv.ppm_11.h265,203.283203125,29.8844169444952,33.9622361324811,42.0076956791584,0.987075286446291,92.4135466777776,85.7473223123122
lemonyuv.ppm_12.h265,176.8564453125,34.3498931535442,33.3952306549019,41.4413873555131,0.985760739011657,91.2976265366177,84.940942447543
lemonyuv.ppm_13.h265,152.189453125,39.9173521900386,32.8330203190955,40.8790621261096,0.984360884229465,90.1886571031509,84.0943663235432
lemonyuv.ppm_14.h265,130.5693359375,46.5270038817379,32.3039396533545,40.351113613928,0.982917522346518,89.1463681681203,83.2343910420207
lemonyuv.ppm_15.h265,111.576171875,54.4471090727677,31.7754127803582,39.8222279321269,0.981387642153394,88.100759289798,82.3369578615645
lemonyuv.ppm_16.h265,96.4619140625,62.978223675552,31.2793219948,39.3267128607003,0.979696162848471,87.1193343989018,81.3613309486641
lemonyuv.ppm_17.h265,83.18359375,73.0312279877906,30.7771246397883,38.8250590482655,0.978017932931209,86.1233980743863,80.4102764097004
lemonyuv.ppm_18.h265,72.43359375,83.8699239605242,30.2805617046273,38.3290944048348,0.976211685902642,85.1356712292558,79.4051707382387
lemonyuv.ppm_19.h265,63.2041015625,96.1171798952427,29.7865877194119,37.835549766478,0.9740469603331,84.1487309011757,78.2253411049651
lemonyuv.ppm_20.h265,55.7431640625,108.981972985757,29.3031868252816,37.3534384018184,0.971951680796407,83.1795320794927,77.1085118347603
lemonyuv.ppm_21.h265,49.0732421875,123.794551352212,28.8128150878375,36.8624212785377,0.969581597298421,82.1855814256421,75.8743225048406
lemonyuv.ppm_22.h265,43.1162109375,140.89828089964,28.3126543747359,36.3650833121746,0.967064854985446,81.1695642787265,74.5967561453044
lemonyuv.ppm_23.h265,38.28125,158.69387755102,27.8264766719349,35.876985666464,0.964416907766263,80.1604929875646,73.2882865188772
lemonyuv.ppm_24.h265,33.7607421875,179.942726562726,27.3199325339885,35.3735415806629,0.961666155133993,79.1034045291152,71.9666841176415
lemonyuv.ppm_25.h265,29.98046875,202.631921824104,26.8374098198985,34.8886760533502,0.958494465044678,78.0648575423744,70.4890242604304
