filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
characteryuv.ppm_10.h265,214.2265625,28.3578279420882,32.293970048037,42.7746800480052,0.990277686538012,93.9238888737394,87.7589352621985
characteryuv.ppm_11.h265,170.521484375,35.6260093692373,31.8223184638187,42.3027339241402,0.989533067628023,92.9946509409561,87.2851487402854
characteryuv.ppm_12.h265,134.1630859375,45.2807115873143,31.3874827127778,41.8688474401813,0.988837009690473,92.1400130533713,86.845595365583
characteryuv.ppm_13.h265,108.0673828125,56.2149266679318,31.0179315372902,41.4990808162194,0.988355983679481,91.4113491736971,86.5437025674005
characteryuv.ppm_14.h265,87.5927734375,69.3550365126261,30.6514978355618,41.1310337912929,0.987873298603045,90.6857037635947,86.2422959556673
characteryuv.ppm_15.h265,72.4599609375,83.839404843731,30.3039273698281,40.7856822385224,0.987410910760509,90.0043926669285,85.9549913592036
characteryuv.ppm_16.h265,60.87890625,99.7882579403272,29.940433537532,40.421416947362,0.986850879436777,89.2852378642192,85.6088767170736
characteryuv.ppm_17.h265,52.3154296875,116.122528980232,29.5967553342149,40.078674605049,0.986280592148106,88.6079678547491,85.2585065644373
characteryuv.ppm_18.h265,45.369140625,133.901588531577,29.234016972995,39.7165988352064,0.985739813358984,87.8917115370862,84.9281957463643
characteryuv.ppm_19.h265,39.7548828125,152.811417622639,28.8616097318278,39.3441028362627,0.985129409027077,87.153812550213,84.5576006995541
characteryuv.ppm_20.h265,34.541015625,175.87786259542,28.4867195564448,38.9702650397224,0.984459472784703,86.4119609773462,84.153582866754
characteryuv.ppm_21.h265,29.8798828125,203.314050397098,28.1015496631486,38.5856324625908,0.983679725732848,85.6470118983001,83.6869010456585
characteryuv.ppm_22.h265,26.5068359375,229.186162178094,27.7284992169696,38.2125430555446,0.982723676787078,84.9030089880358,83.1198829463065
characteryuv.ppm_23.h265,23.2255859375,261.564983391498,27.3578578317106,37.8440584516391,0.982059536064921,84.1657865135913,82.7293220477816
characteryuv.ppm_24.h265,20.482421875,296.595785257938,26.9933637813586,37.4801635794371,0.981300165344423,83.434862809929,82.286077168656
characteryuv.ppm_25.h265,18.037109375,336.805630752572,26.62726130571,37.1122487997963,0.980395547401068,82.6922836062462,81.7626334185675
