filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
roomyuv.ppm_10.h265,256.341796875,23.6988274017692,34.8529873881953,42.3798506553791,0.971121849290204,93.1465135022384,76.6729088105674
roomyuv.ppm_11.h265,221.859375,27.3822100147898,34.2447525432838,41.7720003916583,0.966961896563476,91.9491976187716,74.5452022558077
roomyuv.ppm_12.h265,189.8544921875,31.998189402863,33.641266324545,41.1691841123759,0.962292410993381,90.7609408808661,72.2642530198818
roomyuv.ppm_13.h265,161.533203125,37.6083670878423,33.0592932083225,40.5863792262,0.957022371207832,89.6109911151011,69.819548992205
roomyuv.ppm_14.h265,137.4521484375,44.1971993094188,32.5174849400588,40.0435053905362,0.951797261178275,88.5384341031995,67.5240622056456
roomyuv.ppm_15.h265,117.392578125,51.7494384826553,31.9902584426129,39.5164579352184,0.946466542563064,87.4953847390468,65.3064764552155
roomyuv.ppm_16.h265,100.046875,60.7215367796345,31.4788172187042,39.0049443649916,0.94104428075175,86.4808416227985,63.1722389663576
roomyuv.ppm_17.h265,84.857421875,71.5906736943863,30.9871989376684,38.5125851749494,0.935500160368877,85.5015128004138,61.1092525862121
roomyuv.ppm_18.h265,72.9423828125,83.284912910179,30.496366568011,38.0245704505618,0.930025346431146,84.5272651808821,59.1833375493075
roomyuv.ppm_19.h265,63.0068359375,96.418109394132,30.0266449557255,37.5549659186434,0.924673116047117,83.5853757604855,57.4011108292743
roomyuv.ppm_20.h265,54.32421875,111.828575537499,29.5793125953682,37.1055649181099,0.919515914510846,82.6787550743698,55.7724250513872
roomyuv.ppm_21.h265,47.66015625,127.46496188837,29.1141597121391,36.642422244532,0.914130757235795,81.7374504250071,54.1591810127097
roomyuv.ppm_22.h265,41.3828125,146.800075514442,28.6675580254385,36.1944412229999,0.908950972364196,80.8182997822355,52.6868972888608
roomyuv.ppm_23.h265,36.4375,166.72384219554,28.1909825970959,35.719924841664,0.903249306676616,79.8326994622554,51.1509754008546
roomyuv.ppm_24.h265,32.0048828125,189.814786562109,27.7302785645089,35.260458220497,0.897468731108959,78.863187285974,49.6788767026721
roomyuv.ppm_25.h265,28.2978515625,214.680608758671,27.264191743708,34.7967393959287,0.89170997718197,77.8651930325576,48.2921236728257
