filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
pc_desktopyuv.ppm_10.h265,286.52734375,21.2021649329934,40.8660914492243,42.9803672605389,0.99317054175767,94.3287798406374,89.6351359717148
pc_desktopyuv.ppm_11.h265,268.2080078125,22.6503304265506,40.0785196694601,42.1932887802508,0.992201741945634,92.7791077963447,89.0004537355003
pc_desktopyuv.ppm_12.h265,251.2314453125,24.1808902243247,39.2948066608811,41.4099928815268,0.991111872124761,91.2357393181362,88.2941263362643
pc_desktopyuv.ppm_13.h265,234.7138671875,25.882578105822,38.501396446796,40.6177473112209,0.989883898553073,89.6729196741781,87.5079145080047
pc_desktopyuv.ppm_14.h265,218.912109375,27.7508631995932,37.7180516508983,39.8344147913585,0.988406779818539,88.1248728306767,86.5755104216039
pc_desktopyuv.ppm_15.h265,203.943359375,29.787682318352,36.9198485012044,39.0370416385534,0.986788325463528,86.5445817442015,85.5703427269768
pc_desktopyuv.ppm_16.h265,189.4716796875,32.0628392064695,36.1114136743194,38.2302483483147,0.984788624564223,84.9383676260111,84.3517295168908
pc_desktopyuv.ppm_17.h265,176.4697265625,34.4251680916411,35.3293275361964,37.448066029476,0.982710234596483,83.3702328861413,83.1119510218164
pc_desktopyuv.ppm_18.h265,163.25390625,37.2119732969636,34.4942566172623,36.6149317816607,0.980337375300802,81.6813142090222,81.7291424333357
pc_desktopyuv.ppm_19.h265,151.3251953125,40.1453306401131,33.7229145273981,35.8442299451846,0.977691612304743,80.092266617856,80.2272827284578
pc_desktopyuv.ppm_20.h265,139.734375,43.4753438443475,32.9279887692474,35.0508827516777,0.974749939444372,78.4148767763566,78.6055576937711
pc_desktopyuv.ppm_21.h265,129.0458984375,47.0762734310558,32.1322067406001,34.2561932509459,0.971331560924989,76.6696654476944,76.7826363810218
pc_desktopyuv.ppm_22.h265,118.6015625,51.2219221395165,31.3547996933317,33.4782189051057,0.968042504745615,74.8655611519476,75.0890578755359
pc_desktopyuv.ppm_23.h265,108.4150390625,56.0346613581704,30.5038620209472,32.632259097156,0.962980903727488,72.7422418961244,72.5936386830563
pc_desktopyuv.ppm_24.h265,99.2080078125,61.2349762277412,29.7440213528497,31.872892810836,0.958118975495801,70.6280012349346,70.3172874060181
pc_desktopyuv.ppm_25.h265,90.599609375,67.0532692349149,28.9497001546976,31.0813583711325,0.951958564335774,68.1319369905995,67.5930849238732
