filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
rainieryuv.ppm_10.h265,359.3037109375,16.9077017995418,34.5894978256136,41.1184740057786,0.99634058756005,90.6609332627704,91.7575918779064
rainieryuv.ppm_11.h265,339.1806640625,17.9108087331316,33.8995190418555,40.4287097649994,0.995649283098203,89.299641881306,91.2886998168558
rainieryuv.ppm_12.h265,319.4306640625,19.018211723128,33.0124704650166,39.5426233783111,0.994730488177885,87.5472168528076,90.670750159298
rainieryuv.ppm_13.h265,301.080078125,20.1773562629336,32.0483428533704,38.5796328951894,0.993469344554548,85.6350645709994,89.8321939729583
rainieryuv.ppm_14.h265,283.15625,21.4545855865798,31.138119986247,37.6705756174465,0.991896351198257,83.8177214377325,88.8017194663432
rainieryuv.ppm_15.h265,264.2451171875,22.9900179979083,30.2559762039607,36.789093479004,0.990033274502992,82.0364277725806,87.6030123611733
rainieryuv.ppm_16.h265,246.0771484375,24.6873797041864,29.3984325549415,35.9330701350798,0.987775791093637,80.2771499343766,86.1815936858841
rainieryuv.ppm_17.h265,228.626953125,26.571670211948,28.6136095557618,35.1490763007883,0.985294984618149,78.6254514531731,84.6578923525665
rainieryuv.ppm_18.h265,211.333984375,28.7459682263893,27.7881394357034,34.3241503504062,0.982319884599668,76.8222051076327,82.8821012341541
rainieryuv.ppm_19.h265,194.142578125,31.2914356998421,26.8477169335518,33.3841801993801,0.978586038114275,74.6390367707459,80.7303529687624
rainieryuv.ppm_20.h265,176.7314453125,34.3741884148464,25.7966179707571,32.3351576678162,0.973743276085292,71.9426106494907,78.0619513992729
rainieryuv.ppm_21.h265,157.642578125,38.5365430599779,24.5681216257609,31.1107935521898,0.967062760737094,68.2311476403304,74.5957069506801
rainieryuv.ppm_22.h265,138.3798828125,43.9008899019767,23.4070925981627,29.9541042423466,0.958910126924231,63.8908672343924,70.6799168067434
rainieryuv.ppm_23.h265,122.3388671875,49.6571542606266,22.4742625048005,29.0241062173502,0.950855016236868,59.686279130743,67.123159771023
rainieryuv.ppm_24.h265,107.3671875,56.5815324165029,21.6183336550382,28.1756286343919,0.942124718703298,55.3531741393706,63.588081512419
rainieryuv.ppm_25.h265,93.8193359375,64.7521104183364,20.8285851637172,27.3882545026235,0.932601061296955,51.0999879664231,60.0760703529852
