filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
bar.ppm_10.h265,872.2529296875,6.96472295275233,32.9608024674353,40.5172163187399,0.9882047876503,89.4744299981012,86.4491259086205
bar.ppm_11.h265,759.9462890625,7.99398600589834,32.2685943806125,39.825339637605,0.986359847966259,88.1069163680861,85.3070740568776
bar.ppm_12.h265,656.056640625,9.25987121205355,31.6207892958888,39.1784760453677,0.984476894344979,86.8253159063493,84.1640533729635
bar.ppm_13.h265,563.416015625,10.7824410941904,31.0253034683554,38.5832148591674,0.982620280745234,85.6421976295468,83.0589000920957
bar.ppm_14.h265,481.3515625,12.6207131611835,30.4753648016267,38.0337819628398,0.98089138052555,84.5456938080833,82.0489254965983
bar.ppm_15.h265,409.48046875,14.8358724374446,29.9559406929942,37.5155060922782,0.979231312404151,83.5059950690625,81.0962241475181
bar.ppm_16.h265,347.0322265625,17.5055788339182,29.4541961879996,37.0135565047589,0.977632771395999,82.4923743674827,80.1943524575665
bar.ppm_17.h265,292.6640625,20.7575878914071,28.9751011561883,36.5357075290767,0.976034705567142,81.5193528033007,79.307706137487
bar.ppm_18.h265,247.2294921875,24.5723111197134,28.4997486717901,36.0610198042884,0.974418133465915,80.5425590797845,78.4257472864297
bar.ppm_19.h265,210.337890625,28.8821000436426,28.0416493659558,35.6041671728499,0.972804459098176,79.5900018063027,77.5601120354693
bar.ppm_20.h265,179.9599609375,33.7575089945138,27.5829394634497,35.1459386766082,0.971081721093158,78.6187374828118,76.6519398830458
bar.ppm_21.h265,155.169921875,39.1506287210342,27.1070830476893,34.6720308789861,0.969195076942276,77.5927747388716,75.6759275194884
bar.ppm_22.h265,135.4296875,44.8572252668013,26.6340881039123,34.1989630218482,0.967310118528335,76.5406503581252,74.7197889683887
bar.ppm_23.h265,118.91015625,51.0889918202424,26.1604735908213,33.7265992028649,0.965221215979816,75.4543290825929,73.6819213704619
bar.ppm_24.h265,104.9189453125,57.9018401481799,25.6696290405267,33.2367211905795,0.962772037100941,74.2795021976628,72.4934642226099
bar.ppm_25.h265,93.3056640625,65.1085875765346,25.1834348629578,32.7517021048738,0.960131830577183,73.0549327286459,71.2457766644588
