filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
earth.ppm_10.h265,632.177734375,9.60963929867923,36.2735086718419,43.2004807698364,0.995841247160531,94.7620139428835,91.4185625284526
earth.ppm_11.h265,573.9375,10.5847762169226,35.4754288503768,42.4026009499907,0.995089568568062,93.1913127595442,90.9115460568146
earth.ppm_12.h265,519.4306640625,11.6954974365338,34.6892233314342,41.6169902614953,0.994219779514382,91.6437389100613,90.3298332774334
earth.ppm_13.h265,468.2919921875,12.9726753849073,33.9170888454944,40.8451666776108,0.993217927455418,90.1217759683281,89.6663452367623
earth.ppm_14.h265,419.583984375,14.4786269882277,33.1670468366243,40.0956826524954,0.992076084240148,88.6415920900544,88.918604347341
earth.ppm_15.h265,375.8037109375,16.1653539419421,32.424597100592,39.3535689698385,0.990786593055786,87.1725793577186,88.0848786337551
earth.ppm_16.h265,334.357421875,18.1691794545274,31.6904458561496,38.6200770571305,0.989313859301824,85.7155938119312,87.1463745298759
earth.ppm_17.h265,296.4248046875,20.4942363254804,30.9921026672913,37.9221484350035,0.987707070920094,84.322245414597,86.1388499503016
earth.ppm_18.h265,261.5849609375,23.2238121726405,30.29164913147,37.2229324033031,0.98589243251132,82.9161056505535,85.021226759812
earth.ppm_19.h265,229.900390625,26.4244875073274,29.6079531694328,36.5396708475213,0.98388534138195,81.5274617768722,83.8095927682352
earth.ppm_20.h265,201.7861328125,30.1061322466837,28.9440926600826,35.876201009154,0.981690492458859,80.1588594538887,82.5134706996175
earth.ppm_21.h265,176.8173828125,34.3574817326757,28.2927572958237,35.226388857355,0.979289567791568,78.7905914866062,81.1293768339665
earth.ppm_22.h265,153.77734375,39.5051693042396,27.6507751070025,34.5847707927849,0.976586537645013,77.4010178249743,79.6122017149648
earth.ppm_23.h265,133.6318359375,45.4607239164273,27.0292794469908,33.9641051154255,0.973681457512305,76.0055632865235,78.0287549579168
earth.ppm_24.h265,116.25,52.258064516129,26.4315735609854,33.3689590235922,0.970540583924132,74.6021735582619,76.3700259998568
earth.ppm_25.h265,100.291015625,60.5737210072251,25.825523994084,32.7627108099166,0.967063551339434,73.0835148732931,74.596103030776
